year,office,county,party,candidate,electionType,votes
2004,senate,hall,libertarian,allen buckley,general,1056
2004,senate,hall,republican,mac collins,primary,1976
2004,senate,hall,republican,johnny isakson,primary,8100
2004,senate,hall,republican,johnny isakson,general,37503
2004,senate,hall,republican,herman cain,primary,5794
2004,senate,hall,democratic,mary squires,primary,277
2004,senate,hall,democratic,jim finkelstein,primary,64
2004,senate,hall,democratic,cliff oxford,primary,551
2004,senate,hall,democratic,govind patel,primary,36
2004,senate,hall,democratic,sid cottingham,primary,40
2004,senate,hall,democratic,jim boyd,primary,296
2004,senate,hall,democratic,leigh baier,primary,178
2004,senate,hall,democratic,denise majette,primary,877
2004,senate,hall,democratic,denise majette,general,10439
2004,senate,barrow,libertarian,allen buckley,general,457
2004,senate,barrow,republican,mac collins,primary,1194
2004,senate,barrow,republican,johnny isakson,primary,3276
2004,senate,barrow,republican,johnny isakson,general,12845
2004,senate,barrow,republican,herman cain,primary,1558
2004,senate,barrow,democratic,mary squires,primary,94
2004,senate,barrow,democratic,jim finkelstein,primary,34
2004,senate,barrow,democratic,cliff oxford,primary,189
2004,senate,barrow,democratic,govind patel,primary,11
2004,senate,barrow,democratic,sid cottingham,primary,21
2004,senate,barrow,democratic,jim boyd,primary,150
2004,senate,barrow,democratic,leigh baier,primary,80
2004,senate,barrow,democratic,denise majette,primary,349
2004,senate,barrow,democratic,denise majette,general,4156
2004,senate,bryan,libertarian,allen buckley,general,132
2004,senate,bryan,republican,mac collins,primary,208
2004,senate,bryan,republican,johnny isakson,primary,1281
2004,senate,bryan,republican,johnny isakson,general,7130
2004,senate,bryan,republican,herman cain,primary,596
2004,senate,bryan,democratic,mary squires,primary,76
2004,senate,bryan,democratic,jim finkelstein,primary,16
2004,senate,bryan,democratic,cliff oxford,primary,209
2004,senate,bryan,democratic,govind patel,primary,15
2004,senate,bryan,democratic,sid cottingham,primary,8
2004,senate,bryan,democratic,jim boyd,primary,84
2004,senate,bryan,democratic,leigh baier,primary,55
2004,senate,bryan,democratic,denise majette,primary,122
2004,senate,bryan,democratic,denise majette,general,2410
2004,senate,lincoln,libertarian,allen buckley,general,40
2004,senate,lincoln,republican,mac collins,primary,36
2004,senate,lincoln,republican,johnny isakson,primary,181
2004,senate,lincoln,republican,johnny isakson,general,2272
2004,senate,lincoln,republican,herman cain,primary,173
2004,senate,lincoln,democratic,mary squires,primary,223
2004,senate,lincoln,democratic,jim finkelstein,primary,70
2004,senate,lincoln,democratic,cliff oxford,primary,396
2004,senate,lincoln,democratic,govind patel,primary,29
2004,senate,lincoln,democratic,sid cottingham,primary,29
2004,senate,lincoln,democratic,jim boyd,primary,446
2004,senate,lincoln,democratic,leigh baier,primary,230
2004,senate,lincoln,democratic,denise majette,primary,234
2004,senate,lincoln,democratic,denise majette,general,1188
2004,senate,crisp,libertarian,allen buckley,general,76
2004,senate,crisp,republican,mac collins,primary,413
2004,senate,crisp,republican,johnny isakson,primary,879
2004,senate,crisp,republican,johnny isakson,general,3783
2004,senate,crisp,republican,herman cain,primary,156
2004,senate,crisp,democratic,mary squires,primary,78
2004,senate,crisp,democratic,jim finkelstein,primary,38
2004,senate,crisp,democratic,cliff oxford,primary,339
2004,senate,crisp,democratic,govind patel,primary,13
2004,senate,crisp,democratic,sid cottingham,primary,22
2004,senate,crisp,democratic,jim boyd,primary,176
2004,senate,crisp,democratic,leigh baier,primary,88
2004,senate,crisp,democratic,denise majette,primary,220
2004,senate,crisp,democratic,denise majette,general,2156
2004,senate,hancock,libertarian,allen buckley,general,59
2004,senate,hancock,republican,mac collins,primary,13
2004,senate,hancock,republican,johnny isakson,primary,18
2004,senate,hancock,republican,johnny isakson,general,802
2004,senate,hancock,republican,herman cain,primary,7
2004,senate,hancock,democratic,mary squires,primary,127
2004,senate,hancock,democratic,jim finkelstein,primary,72
2004,senate,hancock,democratic,cliff oxford,primary,319
2004,senate,hancock,democratic,govind patel,primary,30
2004,senate,hancock,democratic,sid cottingham,primary,38
2004,senate,hancock,democratic,jim boyd,primary,579
2004,senate,hancock,democratic,leigh baier,primary,148
2004,senate,hancock,democratic,denise majette,primary,901
2004,senate,hancock,democratic,denise majette,general,2544
2004,senate,turner,libertarian,allen buckley,general,48
2004,senate,turner,republican,mac collins,primary,72
2004,senate,turner,republican,johnny isakson,primary,175
2004,senate,turner,republican,johnny isakson,general,1775
2004,senate,turner,republican,herman cain,primary,38
2004,senate,turner,democratic,mary squires,primary,110
2004,senate,turner,democratic,jim finkelstein,primary,100
2004,senate,turner,democratic,cliff oxford,primary,619
2004,senate,turner,democratic,govind patel,primary,23
2004,senate,turner,democratic,sid cottingham,primary,48
2004,senate,turner,democratic,jim boyd,primary,279
2004,senate,turner,democratic,leigh baier,primary,122
2004,senate,turner,democratic,denise majette,primary,91
2004,senate,turner,democratic,denise majette,general,1042
2004,senate,greene,libertarian,allen buckley,general,90
2004,senate,greene,republican,mac collins,primary,168
2004,senate,greene,republican,johnny isakson,primary,681
2004,senate,greene,republican,johnny isakson,general,4033
2004,senate,greene,republican,herman cain,primary,484
2004,senate,greene,democratic,mary squires,primary,53
2004,senate,greene,democratic,jim finkelstein,primary,30
2004,senate,greene,democratic,cliff oxford,primary,156
2004,senate,greene,democratic,govind patel,primary,9
2004,senate,greene,democratic,sid cottingham,primary,19
2004,senate,greene,democratic,jim boyd,primary,185
2004,senate,greene,democratic,leigh baier,primary,86
2004,senate,greene,democratic,denise majette,primary,591
2004,senate,greene,democratic,denise majette,general,2662
2004,senate,jeff davis,libertarian,allen buckley,general,80
2004,senate,jeff davis,republican,mac collins,primary,29
2004,senate,jeff davis,republican,johnny isakson,primary,62
2004,senate,jeff davis,republican,johnny isakson,general,3149
2004,senate,jeff davis,republican,herman cain,primary,49
2004,senate,jeff davis,democratic,mary squires,primary,197
2004,senate,jeff davis,democratic,jim finkelstein,primary,78
2004,senate,jeff davis,democratic,cliff oxford,primary,696
2004,senate,jeff davis,democratic,govind patel,primary,51
2004,senate,jeff davis,democratic,sid cottingham,primary,204
2004,senate,jeff davis,democratic,jim boyd,primary,834
2004,senate,jeff davis,democratic,leigh baier,primary,259
2004,senate,jeff davis,democratic,denise majette,primary,203
2004,senate,jeff davis,democratic,denise majette,general,1291
2004,senate,bartow,libertarian,allen buckley,general,717
2004,senate,bartow,republican,mac collins,primary,1599
2004,senate,bartow,republican,johnny isakson,primary,5807
2004,senate,bartow,republican,johnny isakson,general,21392
2004,senate,bartow,republican,herman cain,primary,1771
2004,senate,bartow,democratic,mary squires,primary,195
2004,senate,bartow,democratic,jim finkelstein,primary,50
2004,senate,bartow,democratic,cliff oxford,primary,433
2004,senate,bartow,democratic,govind patel,primary,27
2004,senate,bartow,democratic,sid cottingham,primary,32
2004,senate,bartow,democratic,jim boyd,primary,320
2004,senate,bartow,democratic,leigh baier,primary,187
2004,senate,bartow,democratic,denise majette,primary,667
2004,senate,bartow,democratic,denise majette,general,7596
2004,senate,grady,libertarian,allen buckley,general,186
2004,senate,grady,republican,mac collins,primary,264
2004,senate,grady,republican,johnny isakson,primary,438
2004,senate,grady,republican,johnny isakson,general,4484
2004,senate,grady,republican,herman cain,primary,472
2004,senate,grady,democratic,mary squires,primary,184
2004,senate,grady,democratic,jim finkelstein,primary,64
2004,senate,grady,democratic,cliff oxford,primary,794
2004,senate,grady,democratic,govind patel,primary,50
2004,senate,grady,democratic,sid cottingham,primary,72
2004,senate,grady,democratic,jim boyd,primary,1089
2004,senate,grady,democratic,leigh baier,primary,227
2004,senate,grady,democratic,denise majette,primary,231
2004,senate,grady,democratic,denise majette,general,2886
2004,senate,clay,libertarian,allen buckley,general,15
2004,senate,clay,republican,mac collins,primary,21
2004,senate,clay,republican,johnny isakson,primary,31
2004,senate,clay,republican,johnny isakson,general,498
2004,senate,clay,republican,herman cain,primary,10
2004,senate,clay,democratic,mary squires,primary,82
2004,senate,clay,democratic,jim finkelstein,primary,31
2004,senate,clay,democratic,cliff oxford,primary,149
2004,senate,clay,democratic,govind patel,primary,18
2004,senate,clay,democratic,sid cottingham,primary,14
2004,senate,clay,democratic,jim boyd,primary,108
2004,senate,clay,democratic,leigh baier,primary,52
2004,senate,clay,democratic,denise majette,primary,117
2004,senate,clay,democratic,denise majette,general,702
2004,senate,chattooga,libertarian,allen buckley,general,164
2004,senate,chattooga,republican,mac collins,primary,60
2004,senate,chattooga,republican,johnny isakson,primary,142
2004,senate,chattooga,republican,johnny isakson,general,4499
2004,senate,chattooga,republican,herman cain,primary,42
2004,senate,chattooga,democratic,mary squires,primary,353
2004,senate,chattooga,democratic,jim finkelstein,primary,155
2004,senate,chattooga,democratic,cliff oxford,primary,681
2004,senate,chattooga,democratic,govind patel,primary,80
2004,senate,chattooga,democratic,sid cottingham,primary,142
2004,senate,chattooga,democratic,jim boyd,primary,898
2004,senate,chattooga,democratic,leigh baier,primary,596
2004,senate,chattooga,democratic,denise majette,primary,611
2004,senate,chattooga,democratic,denise majette,general,2731
2004,senate,miller,libertarian,allen buckley,general,64
2004,senate,miller,republican,mac collins,primary,0
2004,senate,miller,republican,johnny isakson,primary,5
2004,senate,miller,republican,johnny isakson,general,1479
2004,senate,miller,republican,herman cain,primary,1
2004,senate,miller,democratic,mary squires,primary,199
2004,senate,miller,democratic,jim finkelstein,primary,111
2004,senate,miller,democratic,cliff oxford,primary,490
2004,senate,miller,democratic,govind patel,primary,28
2004,senate,miller,democratic,sid cottingham,primary,42
2004,senate,miller,democratic,jim boyd,primary,617
2004,senate,miller,democratic,leigh baier,primary,165
2004,senate,miller,democratic,denise majette,primary,90
2004,senate,miller,democratic,denise majette,general,696
2004,senate,clinch,libertarian,allen buckley,general,53
2004,senate,clinch,republican,mac collins,primary,11
2004,senate,clinch,republican,johnny isakson,primary,20
2004,senate,clinch,republican,johnny isakson,general,1319
2004,senate,clinch,republican,herman cain,primary,7
2004,senate,clinch,democratic,mary squires,primary,134
2004,senate,clinch,democratic,jim finkelstein,primary,26
2004,senate,clinch,democratic,cliff oxford,primary,856
2004,senate,clinch,democratic,govind patel,primary,21
2004,senate,clinch,democratic,sid cottingham,primary,52
2004,senate,clinch,democratic,jim boyd,primary,299
2004,senate,clinch,democratic,leigh baier,primary,99
2004,senate,clinch,democratic,denise majette,primary,96
2004,senate,clinch,democratic,denise majette,general,662
2004,senate,bacon,libertarian,allen buckley,general,59
2004,senate,bacon,republican,mac collins,primary,96
2004,senate,bacon,republican,johnny isakson,primary,190
2004,senate,bacon,republican,johnny isakson,general,2501
2004,senate,bacon,republican,herman cain,primary,106
2004,senate,bacon,democratic,mary squires,primary,192
2004,senate,bacon,democratic,jim finkelstein,primary,42
2004,senate,bacon,democratic,cliff oxford,primary,515
2004,senate,bacon,democratic,govind patel,primary,34
2004,senate,bacon,democratic,sid cottingham,primary,204
2004,senate,bacon,democratic,jim boyd,primary,362
2004,senate,bacon,democratic,leigh baier,primary,146
2004,senate,bacon,democratic,denise majette,primary,135
2004,senate,bacon,democratic,denise majette,general,888
2004,senate,upson,libertarian,allen buckley,general,137
2004,senate,upson,republican,mac collins,primary,939
2004,senate,upson,republican,johnny isakson,primary,556
2004,senate,upson,republican,johnny isakson,general,6440
2004,senate,upson,republican,herman cain,primary,209
2004,senate,upson,democratic,mary squires,primary,140
2004,senate,upson,democratic,jim finkelstein,primary,62
2004,senate,upson,democratic,cliff oxford,primary,829
2004,senate,upson,democratic,govind patel,primary,34
2004,senate,upson,democratic,sid cottingham,primary,37
2004,senate,upson,democratic,jim boyd,primary,356
2004,senate,upson,democratic,leigh baier,primary,208
2004,senate,upson,democratic,denise majette,primary,675
2004,senate,upson,democratic,denise majette,general,3321
2004,senate,hart,libertarian,allen buckley,general,205
2004,senate,hart,republican,mac collins,primary,324
2004,senate,hart,republican,johnny isakson,primary,593
2004,senate,hart,republican,johnny isakson,general,5121
2004,senate,hart,republican,herman cain,primary,348
2004,senate,hart,democratic,mary squires,primary,455
2004,senate,hart,democratic,jim finkelstein,primary,78
2004,senate,hart,democratic,cliff oxford,primary,341
2004,senate,hart,democratic,govind patel,primary,62
2004,senate,hart,democratic,sid cottingham,primary,69
2004,senate,hart,democratic,jim boyd,primary,911
2004,senate,hart,democratic,leigh baier,primary,354
2004,senate,hart,democratic,denise majette,primary,359
2004,senate,hart,democratic,denise majette,general,3171
2004,senate,randolph,libertarian,allen buckley,general,34
2004,senate,randolph,republican,mac collins,primary,13
2004,senate,randolph,republican,johnny isakson,primary,44
2004,senate,randolph,republican,johnny isakson,general,1404
2004,senate,randolph,republican,herman cain,primary,13
2004,senate,randolph,democratic,mary squires,primary,159
2004,senate,randolph,democratic,jim finkelstein,primary,118
2004,senate,randolph,democratic,cliff oxford,primary,444
2004,senate,randolph,democratic,govind patel,primary,37
2004,senate,randolph,democratic,sid cottingham,primary,23
2004,senate,randolph,democratic,jim boyd,primary,603
2004,senate,randolph,democratic,leigh baier,primary,128
2004,senate,randolph,democratic,denise majette,primary,441
2004,senate,randolph,democratic,denise majette,general,1495
2004,senate,jackson,libertarian,allen buckley,general,343
2004,senate,jackson,republican,mac collins,primary,1499
2004,senate,jackson,republican,johnny isakson,primary,3498
2004,senate,jackson,republican,johnny isakson,general,12207
2004,senate,jackson,republican,herman cain,primary,1655
2004,senate,jackson,democratic,mary squires,primary,70
2004,senate,jackson,democratic,jim finkelstein,primary,37
2004,senate,jackson,democratic,cliff oxford,primary,145
2004,senate,jackson,democratic,govind patel,primary,13
2004,senate,jackson,democratic,sid cottingham,primary,15
2004,senate,jackson,democratic,jim boyd,primary,147
2004,senate,jackson,democratic,leigh baier,primary,72
2004,senate,jackson,democratic,denise majette,primary,247
2004,senate,jackson,democratic,denise majette,general,3398
2004,senate,haralson,libertarian,allen buckley,general,245
2004,senate,haralson,republican,mac collins,primary,951
2004,senate,haralson,republican,johnny isakson,primary,2327
2004,senate,haralson,republican,johnny isakson,general,7259
2004,senate,haralson,republican,herman cain,primary,656
2004,senate,haralson,democratic,mary squires,primary,128
2004,senate,haralson,democratic,jim finkelstein,primary,42
2004,senate,haralson,democratic,cliff oxford,primary,415
2004,senate,haralson,democratic,govind patel,primary,17
2004,senate,haralson,democratic,sid cottingham,primary,33
2004,senate,haralson,democratic,jim boyd,primary,334
2004,senate,haralson,democratic,leigh baier,primary,197
2004,senate,haralson,democratic,denise majette,primary,316
2004,senate,haralson,democratic,denise majette,general,2501
2004,senate,rockdale,libertarian,allen buckley,general,635
2004,senate,rockdale,republican,mac collins,primary,2238
2004,senate,rockdale,republican,johnny isakson,primary,5046
2004,senate,rockdale,republican,johnny isakson,general,18227
2004,senate,rockdale,republican,herman cain,primary,1697
2004,senate,rockdale,democratic,mary squires,primary,254
2004,senate,rockdale,democratic,jim finkelstein,primary,93
2004,senate,rockdale,democratic,cliff oxford,primary,541
2004,senate,rockdale,democratic,govind patel,primary,43
2004,senate,rockdale,democratic,sid cottingham,primary,54
2004,senate,rockdale,democratic,jim boyd,primary,266
2004,senate,rockdale,democratic,leigh baier,primary,181
2004,senate,rockdale,democratic,denise majette,primary,2443
2004,senate,rockdale,democratic,denise majette,general,11845
2004,senate,calhoun,libertarian,allen buckley,general,29
2004,senate,calhoun,republican,mac collins,primary,12
2004,senate,calhoun,republican,johnny isakson,primary,54
2004,senate,calhoun,republican,johnny isakson,general,904
2004,senate,calhoun,republican,herman cain,primary,16
2004,senate,calhoun,democratic,mary squires,primary,134
2004,senate,calhoun,democratic,jim finkelstein,primary,136
2004,senate,calhoun,democratic,cliff oxford,primary,362
2004,senate,calhoun,democratic,govind patel,primary,19
2004,senate,calhoun,democratic,sid cottingham,primary,29
2004,senate,calhoun,democratic,jim boyd,primary,228
2004,senate,calhoun,democratic,leigh baier,primary,120
2004,senate,calhoun,democratic,denise majette,primary,241
2004,senate,calhoun,democratic,denise majette,general,1018
2004,senate,douglas,libertarian,allen buckley,general,876
2004,senate,douglas,republican,mac collins,primary,2466
2004,senate,douglas,republican,johnny isakson,primary,5331
2004,senate,douglas,republican,johnny isakson,general,24788
2004,senate,douglas,republican,herman cain,primary,1938
2004,senate,douglas,democratic,mary squires,primary,254
2004,senate,douglas,democratic,jim finkelstein,primary,97
2004,senate,douglas,democratic,cliff oxford,primary,605
2004,senate,douglas,democratic,govind patel,primary,40
2004,senate,douglas,democratic,sid cottingham,primary,47
2004,senate,douglas,democratic,jim boyd,primary,263
2004,senate,douglas,democratic,leigh baier,primary,228
2004,senate,douglas,democratic,denise majette,primary,2421
2004,senate,douglas,democratic,denise majette,general,15820
2004,senate,richmond,libertarian,allen buckley,general,840
2004,senate,richmond,republican,mac collins,primary,513
2004,senate,richmond,republican,johnny isakson,primary,4519
2004,senate,richmond,republican,johnny isakson,general,29088
2004,senate,richmond,republican,herman cain,primary,5358
2004,senate,richmond,democratic,mary squires,primary,2313
2004,senate,richmond,democratic,jim finkelstein,primary,414
2004,senate,richmond,democratic,cliff oxford,primary,3137
2004,senate,richmond,democratic,govind patel,primary,181
2004,senate,richmond,democratic,sid cottingham,primary,195
2004,senate,richmond,democratic,jim boyd,primary,1713
2004,senate,richmond,democratic,leigh baier,primary,1715
2004,senate,richmond,democratic,denise majette,primary,6082
2004,senate,richmond,democratic,denise majette,general,36493
2004,senate,cobb,libertarian,allen buckley,general,7056
2004,senate,cobb,republican,mac collins,primary,6777
2004,senate,cobb,republican,johnny isakson,primary,41433
2004,senate,cobb,republican,johnny isakson,general,174434
2004,senate,cobb,republican,herman cain,primary,17371
2004,senate,cobb,democratic,mary squires,primary,2013
2004,senate,cobb,democratic,jim finkelstein,primary,750
2004,senate,cobb,democratic,cliff oxford,primary,3610
2004,senate,cobb,democratic,govind patel,primary,256
2004,senate,cobb,democratic,sid cottingham,primary,250
2004,senate,cobb,democratic,jim boyd,primary,1481
2004,senate,cobb,democratic,leigh baier,primary,1409
2004,senate,cobb,democratic,denise majette,primary,13522
2004,senate,cobb,democratic,denise majette,general,93909
2004,senate,berrien,libertarian,allen buckley,general,109
2004,senate,berrien,republican,mac collins,primary,107
2004,senate,berrien,republican,johnny isakson,primary,442
2004,senate,berrien,republican,johnny isakson,general,3754
2004,senate,berrien,republican,herman cain,primary,79
2004,senate,berrien,democratic,mary squires,primary,222
2004,senate,berrien,democratic,jim finkelstein,primary,59
2004,senate,berrien,democratic,cliff oxford,primary,1079
2004,senate,berrien,democratic,govind patel,primary,37
2004,senate,berrien,democratic,sid cottingham,primary,109
2004,senate,berrien,democratic,jim boyd,primary,404
2004,senate,berrien,democratic,leigh baier,primary,214
2004,senate,berrien,democratic,denise majette,primary,166
2004,senate,berrien,democratic,denise majette,general,1574
2004,senate,troup,libertarian,allen buckley,general,322
2004,senate,troup,republican,mac collins,primary,2129
2004,senate,troup,republican,johnny isakson,primary,2756
2004,senate,troup,republican,johnny isakson,general,13604
2004,senate,troup,republican,herman cain,primary,1089
2004,senate,troup,democratic,mary squires,primary,118
2004,senate,troup,democratic,jim finkelstein,primary,50
2004,senate,troup,democratic,cliff oxford,primary,315
2004,senate,troup,democratic,govind patel,primary,14
2004,senate,troup,democratic,sid cottingham,primary,46
2004,senate,troup,democratic,jim boyd,primary,410
2004,senate,troup,democratic,leigh baier,primary,168
2004,senate,troup,democratic,denise majette,primary,963
2004,senate,troup,democratic,denise majette,general,7483
2004,senate,glascock,libertarian,allen buckley,general,15
2004,senate,glascock,republican,mac collins,primary,21
2004,senate,glascock,republican,johnny isakson,primary,64
2004,senate,glascock,republican,johnny isakson,general,931
2004,senate,glascock,republican,herman cain,primary,25
2004,senate,glascock,democratic,mary squires,primary,42
2004,senate,glascock,democratic,jim finkelstein,primary,12
2004,senate,glascock,democratic,cliff oxford,primary,172
2004,senate,glascock,democratic,govind patel,primary,7
2004,senate,glascock,democratic,sid cottingham,primary,6
2004,senate,glascock,democratic,jim boyd,primary,145
2004,senate,glascock,democratic,leigh baier,primary,64
2004,senate,glascock,democratic,denise majette,primary,47
2004,senate,glascock,democratic,denise majette,general,204
2004,senate,burke,libertarian,allen buckley,general,96
2004,senate,burke,republican,mac collins,primary,354
2004,senate,burke,republican,johnny isakson,primary,1193
2004,senate,burke,republican,johnny isakson,general,4401
2004,senate,burke,republican,herman cain,primary,462
2004,senate,burke,democratic,mary squires,primary,361
2004,senate,burke,democratic,jim finkelstein,primary,76
2004,senate,burke,democratic,cliff oxford,primary,472
2004,senate,burke,democratic,govind patel,primary,31
2004,senate,burke,democratic,sid cottingham,primary,34
2004,senate,burke,democratic,jim boyd,primary,274
2004,senate,burke,democratic,leigh baier,primary,238
2004,senate,burke,democratic,denise majette,primary,532
2004,senate,burke,democratic,denise majette,general,3601
2004,senate,treutlen,libertarian,allen buckley,general,46
2004,senate,treutlen,republican,mac collins,primary,6
2004,senate,treutlen,republican,johnny isakson,primary,14
2004,senate,treutlen,republican,johnny isakson,general,1571
2004,senate,treutlen,republican,herman cain,primary,9
2004,senate,treutlen,democratic,mary squires,primary,103
2004,senate,treutlen,democratic,jim finkelstein,primary,33
2004,senate,treutlen,democratic,cliff oxford,primary,445
2004,senate,treutlen,democratic,govind patel,primary,28
2004,senate,treutlen,democratic,sid cottingham,primary,39
2004,senate,treutlen,democratic,jim boyd,primary,526
2004,senate,treutlen,democratic,leigh baier,primary,128
2004,senate,treutlen,democratic,denise majette,primary,186
2004,senate,treutlen,democratic,denise majette,general,996
2004,senate,lamar,libertarian,allen buckley,general,93
2004,senate,lamar,republican,mac collins,primary,523
2004,senate,lamar,republican,johnny isakson,primary,276
2004,senate,lamar,republican,johnny isakson,general,3953
2004,senate,lamar,republican,herman cain,primary,159
2004,senate,lamar,democratic,mary squires,primary,118
2004,senate,lamar,democratic,jim finkelstein,primary,61
2004,senate,lamar,democratic,cliff oxford,primary,642
2004,senate,lamar,democratic,govind patel,primary,37
2004,senate,lamar,democratic,sid cottingham,primary,41
2004,senate,lamar,democratic,jim boyd,primary,369
2004,senate,lamar,democratic,leigh baier,primary,159
2004,senate,lamar,democratic,denise majette,primary,895
2004,senate,lamar,democratic,denise majette,general,2367
2004,senate,lee,libertarian,allen buckley,general,108
2004,senate,lee,republican,mac collins,primary,543
2004,senate,lee,republican,johnny isakson,primary,2113
2004,senate,lee,republican,johnny isakson,general,7932
2004,senate,lee,republican,herman cain,primary,522
2004,senate,lee,democratic,mary squires,primary,45
2004,senate,lee,democratic,jim finkelstein,primary,128
2004,senate,lee,democratic,cliff oxford,primary,239
2004,senate,lee,democratic,govind patel,primary,8
2004,senate,lee,democratic,sid cottingham,primary,12
2004,senate,lee,democratic,jim boyd,primary,107
2004,senate,lee,democratic,leigh baier,primary,52
2004,senate,lee,democratic,denise majette,primary,129
2004,senate,lee,democratic,denise majette,general,2157
2004,senate,mcintosh,libertarian,allen buckley,general,78
2004,senate,mcintosh,republican,mac collins,primary,275
2004,senate,mcintosh,republican,johnny isakson,primary,685
2004,senate,mcintosh,republican,johnny isakson,general,2755
2004,senate,mcintosh,republican,herman cain,primary,223
2004,senate,mcintosh,democratic,mary squires,primary,170
2004,senate,mcintosh,democratic,jim finkelstein,primary,44
2004,senate,mcintosh,democratic,cliff oxford,primary,376
2004,senate,mcintosh,democratic,govind patel,primary,18
2004,senate,mcintosh,democratic,sid cottingham,primary,32
2004,senate,mcintosh,democratic,jim boyd,primary,562
2004,senate,mcintosh,democratic,leigh baier,primary,226
2004,senate,mcintosh,democratic,denise majette,primary,237
2004,senate,mcintosh,democratic,denise majette,general,2379
2004,senate,bibb,libertarian,allen buckley,general,902
2004,senate,bibb,republican,mac collins,primary,1399
2004,senate,bibb,republican,johnny isakson,primary,4245
2004,senate,bibb,republican,johnny isakson,general,28213
2004,senate,bibb,republican,herman cain,primary,2791
2004,senate,bibb,democratic,mary squires,primary,1072
2004,senate,bibb,democratic,jim finkelstein,primary,416
2004,senate,bibb,democratic,cliff oxford,primary,4371
2004,senate,bibb,democratic,govind patel,primary,201
2004,senate,bibb,democratic,sid cottingham,primary,202
2004,senate,bibb,democratic,jim boyd,primary,2676
2004,senate,bibb,democratic,leigh baier,primary,1154
2004,senate,bibb,democratic,denise majette,primary,5683
2004,senate,bibb,democratic,denise majette,general,27517
2004,senate,brooks,libertarian,allen buckley,general,97
2004,senate,brooks,republican,mac collins,primary,51
2004,senate,brooks,republican,johnny isakson,primary,154
2004,senate,brooks,republican,johnny isakson,general,2786
2004,senate,brooks,republican,herman cain,primary,51
2004,senate,brooks,democratic,mary squires,primary,190
2004,senate,brooks,democratic,jim finkelstein,primary,47
2004,senate,brooks,democratic,cliff oxford,primary,475
2004,senate,brooks,democratic,govind patel,primary,28
2004,senate,brooks,democratic,sid cottingham,primary,30
2004,senate,brooks,democratic,jim boyd,primary,545
2004,senate,brooks,democratic,leigh baier,primary,131
2004,senate,brooks,democratic,denise majette,primary,300
2004,senate,brooks,democratic,denise majette,general,1905
2004,senate,butts,libertarian,allen buckley,general,147
2004,senate,butts,republican,mac collins,primary,1311
2004,senate,butts,republican,johnny isakson,primary,269
2004,senate,butts,republican,johnny isakson,general,4841
2004,senate,butts,republican,herman cain,primary,147
2004,senate,butts,democratic,mary squires,primary,150
2004,senate,butts,democratic,jim finkelstein,primary,52
2004,senate,butts,democratic,cliff oxford,primary,502
2004,senate,butts,democratic,govind patel,primary,28
2004,senate,butts,democratic,sid cottingham,primary,39
2004,senate,butts,democratic,jim boyd,primary,362
2004,senate,butts,democratic,leigh baier,primary,175
2004,senate,butts,democratic,denise majette,primary,896
2004,senate,butts,democratic,denise majette,general,2615
2004,senate,clayton,libertarian,allen buckley,general,1351
2004,senate,clayton,republican,mac collins,primary,2216
2004,senate,clayton,republican,johnny isakson,primary,2040
2004,senate,clayton,republican,johnny isakson,general,20939
2004,senate,clayton,republican,herman cain,primary,1262
2004,senate,clayton,democratic,mary squires,primary,1626
2004,senate,clayton,democratic,jim finkelstein,primary,635
2004,senate,clayton,democratic,cliff oxford,primary,3317
2004,senate,clayton,democratic,govind patel,primary,320
2004,senate,clayton,democratic,sid cottingham,primary,443
2004,senate,clayton,democratic,jim boyd,primary,1803
2004,senate,clayton,democratic,leigh baier,primary,1444
2004,senate,clayton,democratic,denise majette,primary,17608
2004,senate,clayton,democratic,denise majette,general,55591
2004,senate,webster,libertarian,allen buckley,general,17
2004,senate,webster,republican,mac collins,primary,10
2004,senate,webster,republican,johnny isakson,primary,21
2004,senate,webster,republican,johnny isakson,general,497
2004,senate,webster,republican,herman cain,primary,8
2004,senate,webster,democratic,mary squires,primary,73
2004,senate,webster,democratic,jim finkelstein,primary,20
2004,senate,webster,democratic,cliff oxford,primary,177
2004,senate,webster,democratic,govind patel,primary,9
2004,senate,webster,democratic,sid cottingham,primary,15
2004,senate,webster,democratic,jim boyd,primary,130
2004,senate,webster,democratic,leigh baier,primary,50
2004,senate,webster,democratic,denise majette,primary,77
2004,senate,webster,democratic,denise majette,general,457
2004,senate,coweta,libertarian,allen buckley,general,876
2004,senate,coweta,republican,mac collins,primary,8684
2004,senate,coweta,republican,johnny isakson,primary,5535
2004,senate,coweta,republican,johnny isakson,general,30618
2004,senate,coweta,republican,herman cain,primary,2243
2004,senate,coweta,democratic,mary squires,primary,204
2004,senate,coweta,democratic,jim finkelstein,primary,69
2004,senate,coweta,democratic,cliff oxford,primary,434
2004,senate,coweta,democratic,govind patel,primary,35
2004,senate,coweta,democratic,sid cottingham,primary,33
2004,senate,coweta,democratic,jim boyd,primary,247
2004,senate,coweta,democratic,leigh baier,primary,220
2004,senate,coweta,democratic,denise majette,primary,1323
2004,senate,coweta,democratic,denise majette,general,10389
2004,senate,chatham,libertarian,allen buckley,general,1481
2004,senate,chatham,republican,mac collins,primary,1446
2004,senate,chatham,republican,johnny isakson,primary,9319
2004,senate,chatham,republican,johnny isakson,general,45108
2004,senate,chatham,republican,herman cain,primary,6130
